,Age,Gender,Location,Occupation,Income Bracket,Credit Score,Channel,Device Type,Loans Accessed,Savings Accessed,Monthly Avg Balance,Loans Taken,Repayment Misses,Overdraft Events,Failed Payments,Current Plan,Payment Mode,Tickets Raised,Resolution Time (hrs),Sentiment Score,Survey Feedback,Churned,Onboarding Year,Onboarding Month,Customer Tenuer Year,Total Logins,Support Intensity
53,45,Female,East,Salaried,High,637,Online,Web,2,1,50256.04632,1,0,3,0,Silver,Manual,2.0,50.43799012,0.088072893,Bad,1,2016,11,9,19.0,0.03965265061596788
54,36,Male,East,Student,High,707,Branch,iOS,0,1,31178.60316,0,0,2,0,Platinum,Auto,0.0,1.655382137,-0.00483063,Neutral,0,2019,3,6,28.0,0.0
55,60,Other,East,Retired,High,467,Agent,Web,0,1,41827.36043,0,1,4,1,Platinum,Auto,4.0,4.671339676,-0.131760508,Bad,1,2012,11,13,14.0,0.8562854079207406
56,22,Female,East,Self-employed,Low,466,Online,iOS,2,1,54259.83922,1,1,4,0,Silver,Auto,5.0,10.63967868,-0.00014113,Neutral,0,2015,1,10,22.0,0.4699390038346534
57,50,Male,South,Self-employed,Low,832,Agent,iOS,0,1,38199.19553,1,0,2,1,Gold,Auto,2.0,124.0920681,0.44905184,Good,0,2018,6,7,16.0,0.016117065583823562
58,37,Female,South,Student,Low,464,Online,Android,1,1,49577.23364,0,1,1,0,Platinum,Manual,1.0,55.88945856,0.050130371,Bad,0,2021,12,4,17.0,0.017892461758713448
59,47,Other,North,Salaried,Medium,561,Branch,Web,2,1,29723.26541,0,1,3,0,Platinum,Manual,1.0,60.95166953,0.405944402,Neutral,0,2013,8,12,18.0,0.016406441492268015
60,62,Other,East,Retired,High,560,Agent,iOS,2,1,19024.81616,0,1,1,1,Basic,Auto,2.0,148.8448992,-0.038735559,Neutral,0,2011,12,14,24.0,0.013436805767274827
61,25,Female,East,Self-employed,Low,474,Agent,Android,2,1,27768.23545,0,0,5,0,Basic,Auto,0.0,31.57399406,0.518407277,Neutral,0,2017,9,8,10.0,0.0
62,55,Female,North,Salaried,Medium,395,Online,Web,1,1,38168.01502,1,1,3,0,Basic,Manual,1.0,116.6331586,0.314447477,Good,1,2013,6,12,14.0,0.008573891095837989
63,34,Other,West,Retired,Low,656,Branch,iOS,0,1,31124.81166,0,1,2,0,Platinum,Manual,1.0,0.587946875,0.457481972,Bad,0,2020,3,5,18.0,1.7008339401412755
64,61,Male,South,Self-employed,Medium,669,Branch,Android,0,1,44354.37481,0,1,2,0,Platinum,Auto,5.0,46.00020682,0.696461508,Bad,0,2017,5,8,18.0,0.10869516347100631
66,20,Female,West,Self-employed,Low,466,Online,Android,2,1,49964.96704,1,0,2,0,Basic,Manual,1.0,7.452420689,0.721089481,Good,0,2018,2,7,13.0,0.1341845880327221
68,43,Other,East,Salaried,Low,634,Branch,iOS,1,1,31041.15867,0,0,1,0,Silver,Manual,1.0,0.857609306,0.830341518,Good,0,2016,5,9,23.0,1.1660321232568343
69,48,Female,East,Salaried,Medium,773,Online,iOS,3,1,39146.96785,1,0,4,1,Platinum,Manual,1.0,10.08778407,0.370070537,Neutral,1,2022,1,3,12.0,0.09912979828482789
70,25,Female,West,Retired,High,444,Branch,Android,0,1,40125.49374,1,0,0,0,Basic,Auto,2.0,21.231161,0.75555844,Good,0,2014,11,11,13.0,0.09420116026627089
71,60,Female,South,Student,Low,353,Branch,Web,0,1,36573.37925,2,0,1,1,Gold,Auto,0.0,40.36134022,0.222266075,Good,0,2013,5,12,19.0,0.0
72,63,Male,South,Salaried,Low,421,Agent,iOS,3,1,48270.50757,0,0,0,0,Silver,Auto,1.0,7.48264277,0.133696368,Good,0,2017,7,8,15.0,0.13364262209727273
73,25,Male,East,Salaried,High,423,Branch,iOS,1,1,51561.63072,1,0,1,0,Silver,Auto,3.0,31.99799429,0.502750694,Good,1,2021,11,4,19.0,0.09375587647184369
74,52,Male,East,Self-employed,Medium,466,Agent,iOS,1,1,32435.82277,3,2,3,1,Silver,Auto,4.0,68.08378133,0.537495389,Neutral,0,2012,9,13,18.0,0.05875114339804546
75,56,Male,North,Self-employed,High,321,Agent,iOS,1,1,61889.38657,3,2,3,0,Basic,Manual,2.0,67.29176414,-0.009204601,Bad,0,2015,4,10,24.0,0.029721319177173234
76,45,Female,North,Retired,Low,575,Agent,Android,0,1,40158.75998,0,0,4,0,Gold,Auto,2.0,44.55220051,1.02479322,Good,0,2015,8,10,18.0,0.04489116086535588
77,68,Female,South,Student,High,707,Agent,iOS,1,1,47374.95273,1,1,1,0,Basic,Manual,0.0,50.97958617,0.529629583,Good,0,2018,9,7,28.0,0.0
78,21,Male,North,Self-employed,High,781,Branch,Web,0,1,53420.71613,1,1,3,0,Gold,Manual,2.0,12.50002383,0.5693617,Good,0,2016,1,9,18.0,0.1599996949765815
79,33,Male,West,Retired,Medium,598,Agent,iOS,0,1,59116.76969,3,1,1,1,Gold,Manual,1.0,110.9083163,0.160698655,Neutral,0,2021,5,4,17.0,0.009016456415180472
80,30,Female,West,Retired,Medium,576,Agent,Android,1,1,41875.2838,3,0,2,1,Platinum,Manual,2.0,29.82507073,0.752288544,Good,1,2018,1,7,11.0,0.06705767835743201
81,37,Other,West,Retired,High,621,Agent,Android,0,1,47869.77085,0,1,1,0,Gold,Auto,1.0,2.902975287,0.118725841,Bad,0,2012,10,13,26.0,0.3444741691319813
82,68,Other,West,Salaried,Medium,414,Branch,iOS,0,1,29909.21292,0,1,1,0,Gold,Auto,1.0,35.74176763,0.468420727,Neutral,0,2018,6,7,17.0,0.027978470744705025
83,22,Female,East,Student,Medium,571,Online,Android,1,1,49173.60326,0,1,2,0,Silver,Auto,1.0,40.08179792,0.774953824,Good,0,2013,1,12,19.0,0.024948980631954647
84,54,Male,West,Student,Low,467,Agent,Android,0,1,69640.12461,2,0,2,0,Platinum,Manual,4.0,123.3488789,0.472068844,Bad,0,2017,3,8,14.0,0.032428344997305035
85,37,Male,South,Student,Medium,735,Agent,Web,1,1,50508.52532,1,1,5,0,Basic,Manual,0.0,18.36071176,0.394089635,Neutral,0,2014,10,11,16.400753212228622,0.0
86,41,Female,North,Salaried,High,563,Online,Web,1,1,39014.81826,0,1,2,0,Basic,Manual,4.0,15.63432836,0.280429258,Bad,0,2014,6,11,22.0,0.2558472553406189
88,51,Female,East,Self-employed,Low,761,Agent,Android,1,1,20564.356,0,1,3,1,Gold,Auto,1.0,8.29504995,-0.249238977,Bad,1,2014,7,11,11.0,0.12055382499535161
89,62,Female,North,Self-employed,Low,738,Branch,Web,3,1,41719.00394,0,0,1,1,Silver,Auto,1.0,41.33711948,0.467242851,Bad,0,2015,10,10,17.0,0.024191332453240403
90,65,Female,North,Self-employed,Low,641,Agent,Android,1,1,65255.84013,0,1,2,1,Basic,Manual,5.0,60.62081746,0.595365464,Bad,0,2019,9,6,10.0,0.08247991712251648
91,51,Male,North,Retired,High,765,Branch,Web,1,1,54681.48691,1,1,0,1,Platinum,Auto,1.0,68.06385568,0.560363066,Neutral,0,2012,11,13,21.0,0.014692085689377743
93,34,Male,East,Salaried,Medium,304,Agent,iOS,0,1,54055.19068,0,1,2,0,Platinum,Manual,3.0,6.603190462,1.195811839,Good,0,2016,8,9,16.400753212228622,0.4543258319238831
94,22,Other,South,Self-employed,Low,564,Agent,Web,1,1,58945.84726,0,1,3,1,Gold,Manual,2.0,113.1906544,0.32037969,Neutral,0,2021,3,4,23.0,0.01766930327067709
95,42,Female,West,Retired,Medium,548,Branch,Web,0,1,48131.763028208115,1,1,1,0,Silver,Manual,2.0,1.7688467,0.776770942,Neutral,0,2021,9,4,21.0,1.1306802336234112
96,35,Female,North,Salaried,Medium,394,Agent,Android,1,1,44434.21901,1,0,0,0,Silver,Auto,1.0,14.0243568,0.508441356,Bad,0,2014,5,11,13.0,0.0713045178656607
97,67,Other,South,Retired,High,756,Online,Web,0,1,48131.763028208115,1,0,3,1,Basic,Auto,0.0,1.482001383,0.592639171,Good,0,2019,2,6,24.0,0.0
98,25,Male,South,Retired,Medium,616,Branch,Web,1,1,73459.75729,2,0,1,0,Platinum,Auto,1.0,130.0004126,1.231606334,Bad,0,2017,12,8,19.0,0.007692283278183995
99,44,Female,South,Retired,Low,418,Online,Android,2,1,42841.56995,3,0,4,0,Silver,Auto,4.0,11.99749262,0.222386767,Neutral,0,2019,3,6,27.0,0.3334029973339546
100,32,Other,East,Student,Low,501,Agent,iOS,2,1,56224.10009,2,0,2,1,Gold,Manual,2.0,48.72777618,0.3333516,Bad,0,2013,4,12,14.0,0.04104435204701353
101,62,Male,West,Salaried,High,352,Online,Android,1,1,31577.43211,1,0,1,0,Gold,Manual,3.0,39.16112792,0.088597004,Bad,0,2014,6,11,14.0,0.07660657798540753
102,30,Male,East,Salaried,High,616,Online,iOS,1,1,30833.65258,1,0,1,0,Platinum,Auto,1.0,139.9197885,0.42510499,Neutral,0,2018,12,7,20.0,0.007146951912380856
103,33,Female,North,Retired,High,543,Branch,Web,1,1,48131.763028208115,3,1,2,1,Silver,Auto,3.0,72.20621889,0.614748474,Neutral,0,2012,8,13,21.0,0.041547667861825635
104,39,Male,North,Student,Low,393,Online,iOS,2,1,50154.68705,3,1,4,0,Platinum,Auto,5.0,6.951484014,0.567815585,Good,1,2019,10,6,20.0,0.7192708765394853
105,37,Other,South,Retired,High,579,Agent,iOS,0,1,46970.66597,1,1,1,0,Gold,Manual,2.0,144.1111477,0.830772019,Good,0,2011,7,14,14.0,0.01387817689276511
106,30,Male,South,Self-employed,Low,391,Branch,Android,0,1,69690.1918,2,1,0,0,Platinum,Auto,3.0,18.99586766,0.531822409,Good,0,2020,11,5,22.0,0.15792908508818282
107,37,Female,South,Salaried,Medium,337,Agent,Android,2,1,48131.763028208115,0,2,5,0,Gold,Auto,1.0,25.97823634,0.723502789,Bad,0,2015,2,10,20.0,0.03849376019650147
108,19,Other,East,Salaried,High,712,Agent,iOS,1,1,34294.55217,1,1,2,1,Gold,Auto,2.0,45.28902897,0.802233167,Good,0,2018,12,7,29.0,0.044160805508213136
109,52,Male,West,Student,High,542,Online,iOS,1,1,44131.15148,2,0,2,0,Silver,Manual,1.0,3.245291737,0.528083849,Neutral,0,2021,10,4,16.0,0.3081387070995399
111,36,Male,North,Salaried,Low,363,Online,iOS,3,1,55756.25431,0,1,0,0,Silver,Manual,3.0,34.21101091,0.546129406,Neutral,0,2020,9,5,19.0,0.0876910655429679
112,62,Other,South,Salaried,Medium,500,Branch,Web,2,1,50587.90194,3,1,9,0,Gold,Manual,3.0,3.944287444,0.437802776,Bad,1,2012,5,13,22.0,0.7605936541373428
113,54,Male,South,Student,High,606,Branch,iOS,3,1,57968.579,1,0,3,0,Gold,Auto,5.0,1.771052474,0.132955627,Bad,1,2017,8,8,17.0,2.823180043167936
114,23,Female,East,Retired,Medium,474,Online,iOS,0,1,73652.06522,0,2,2,0,Platinum,Manual,2.0,61.6472794,0.718569749,Good,0,2012,6,13,14.0,0.032442632010132144
115,31,Other,North,Salaried,High,847,Branch,iOS,0,1,35470.831,1,0,3,1,Silver,Auto,2.0,188.7863497,0.804904478,Neutral,1,2015,9,10,16.0,0.010593986287558374
116,21,Other,West,Retired,Low,398,Branch,Web,3,1,60483.03354,1,2,4,0,Basic,Manual,4.0,3.82720293,0.272046206,Neutral,1,2014,8,11,10.0,1.0451497015341176
117,39,Male,South,Student,Medium,525,Branch,Android,0,1,29830.74493,1,1,1,1,Platinum,Auto,0.0,108.009559,0.590621161,Bad,0,2017,2,8,18.0,0.0
118,68,Other,South,Retired,Medium,848,Branch,Android,4,1,58736.23152,2,1,3,1,Silver,Manual,4.0,26.75260283,0.072434031,Good,1,2013,11,12,15.0,0.14951816185580474
119,56,Female,North,Self-employed,High,572,Online,Web,2,1,45413.27001,0,0,0,0,Basic,Manual,5.0,78.04225441,0.49501943,Bad,0,2018,4,7,10.0,0.06406785705769312
120,53,Other,South,Salaried,Medium,485,Online,iOS,0,1,45376.89184,2,2,3,1,Gold,Auto,1.0,71.48502102,0.107749138,Neutral,1,2019,2,6,17.0,0.013988944617085879
121,51,Female,West,Student,Low,751,Agent,iOS,1,1,54688.0481,1,1,3,1,Silver,Auto,1.0,150.0893194,-0.143835617,Bad,1,2019,2,6,20.0,0.006662699277987398
122,44,Male,East,Student,Medium,804,Agent,Web,1,1,39332.2326,1,0,2,0,Silver,Manual,1.0,0.517065144,0.096641062,Neutral,0,2012,12,13,28.0,1.933992286279502
123,24,Other,North,Retired,Medium,393,Branch,Android,1,1,64648.37422,0,1,1,0,Silver,Auto,2.0,77.36225307,0.34274184,Bad,0,2017,4,8,31.0,0.025852401146982264
124,20,Female,South,Salaried,Medium,606,Online,iOS,1,1,50215.70015,1,0,1,1,Basic,Manual,4.0,29.60160612,0.557452426,Neutral,0,2018,4,7,17.0,0.13512780299098176
125,64,Male,South,Student,Medium,816,Online,Web,1,1,48131.763028208115,0,1,1,0,Silver,Manual,2.0,25.42506606,0.341843432,Bad,0,2020,5,5,13.0,0.0786625291466401
126,50,Female,West,Self-employed,High,473,Online,Web,2,1,19694.86394,2,0,2,0,Silver,Manual,2.0,46.03893858,0.168119584,Good,1,2016,6,9,13.0,0.04344148804657347
127,19,Other,East,Retired,High,372,Agent,Web,1,1,38302.90707,6,2,5,1,Gold,Manual,5.0,51.48708351,0.50192541,Bad,1,2018,11,7,15.0,0.09711173481071
128,59,Other,West,Self-employed,Medium,444,Branch,iOS,2,1,60027.84819,1,0,2,0,Gold,Auto,2.0,43.00003799,0.379613797,Bad,0,2012,11,13,24.0,0.046511586814530624
129,33,Female,East,Self-employed,Medium,355,Online,Web,3,1,51132.59752,1,0,3,0,Basic,Manual,3.0,26.59493892,0.613338411,Good,0,2017,3,8,25.0,0.1128034175609229
130,42,Male,West,Retired,Low,543,Agent,Android,0,1,57092.52233,0,0,1,0,Gold,Manual,3.0,41.15207801,0.730007413,Neutral,0,2021,1,4,14.0,0.0729003283691044
131,32,Male,East,Self-employed,High,503,Online,iOS,1,1,72653.09115,1,0,1,0,Platinum,Manual,1.0,108.2484956,0.745664788,Neutral,0,2013,3,12,23.0,0.009238003673466295
132,41,Male,South,Retired,High,315,Online,Web,0,1,63775.13482,1,1,3,0,Silver,Manual,1.0,19.08870716,0.281593283,Good,0,2013,10,12,21.0,0.05238699465700222
133,32,Male,South,Retired,High,425,Agent,iOS,1,1,52511.16572,3,0,1,0,Gold,Manual,3.0,31.62130547,0.187584921,Bad,0,2017,3,8,23.0,0.09487274340542905
134,48,Female,South,Student,Medium,765,Agent,iOS,2,1,28215.49358,3,2,2,0,Silver,Auto,0.0,18.57574873,0.678279369,Bad,1,2012,2,13,17.0,0.0
135,31,Other,North,Student,High,727,Online,Web,3,1,72375.19668,3,1,1,0,Silver,Auto,2.0,44.19145964,0.600217705,Neutral,0,2011,2,14,24.0,0.045257613491220726
136,31,Female,East,Self-employed,Low,650,Branch,Android,0,1,63022.41557,0,2,0,0,Silver,Manual,2.0,65.89687639,0.702726503,Neutral,0,2013,7,12,23.0,0.030350452245464923
137,23,Other,North,Self-employed,Low,378,Branch,Android,2,1,46382.44607,2,0,3,0,Silver,Auto,2.0,106.3250524,0.953478551,Neutral,0,2020,12,5,19.0,0.01881024231688975
138,31,Other,East,Self-employed,Low,800,Agent,Android,0,1,41931.68185,2,0,1,0,Platinum,Manual,2.0,19.11495365,0.767629317,Bad,0,2014,9,11,18.0,0.10463012553525078
139,34,Female,South,Self-employed,Low,678,Online,Web,2,1,43510.67008,2,1,2,0,Basic,Manual,2.0,37.30484822,0.368699205,Good,1,2016,10,9,13.0,0.05361233446669684
140,35,Female,North,Self-employed,Low,563,Agent,Web,1,1,32621.38183,3,0,3,0,Gold,Manual,3.0,163.3768294,0.15608134,Good,1,2011,11,14,16.0,0.018362456971514715
141,37,Male,North,Student,High,604,Online,iOS,0,1,61132.43349,1,0,2,0,Gold,Manual,3.0,16.32598372,0.663130484,Bad,0,2014,11,11,23.0,0.18375615530749775
142,68,Other,West,Self-employed,Medium,787,Online,Android,1,1,34330.9156,2,0,2,0,Gold,Auto,4.0,247.1376603,0.496498406,Neutral,0,2016,12,9,19.0,0.016185311437942752
143,34,Male,East,Self-employed,Medium,424,Online,iOS,0,1,51943.41822,0,2,4,0,Platinum,Manual,2.0,62.73094556,0.301173247,Neutral,0,2014,12,11,13.0,0.031882191192018114
144,33,Male,West,Salaried,Medium,380,Agent,iOS,1,1,33420.95983,0,1,2,0,Gold,Manual,2.0,10.76694156,0.557469127,Neutral,0,2018,6,7,15.0,0.18575377128730325
145,57,Female,North,Retired,Medium,474,Agent,Android,0,1,31679.06137,1,1,3,0,Gold,Manual,2.0,12.03156917,0.621253891,Bad,0,2017,11,8,22.0,0.16622935643231648
146,56,Male,North,Retired,High,424,Agent,iOS,0,1,52878.18329,0,2,3,0,Gold,Manual,6.0,2.346986411,0.474153092,Bad,0,2016,1,9,15.0,2.5564698508175554
147,69,Male,South,Student,High,647,Agent,Android,1,1,62654.13394,2,0,1,0,Silver,Manual,5.0,18.35506793,0.903875683,Neutral,0,2017,12,8,25.0,0.272404331003748
148,49,Male,West,Retired,High,666,Branch,iOS,1,1,64603.22147,2,1,2,0,Basic,Auto,5.0,88.0762797,0.418799439,Good,0,2011,3,14,14.400753212228622,0.05676897363320399
149,61,Female,West,Self-employed,Low,834,Online,Web,1,1,32921.89426,0,1,3,0,Silver,Manual,2.0,71.40102698,0.435965356,Bad,0,2020,11,5,21.0,0.028010801589173445
150,26,Male,West,Retired,Medium,714,Agent,Web,2,1,29780.83799,1,0,2,0,Basic,Auto,4.0,30.56084906,0.204331042,Bad,1,2016,5,9,15.0,0.1308864158893889
151,44,Male,East,Student,High,551,Online,Android,1,1,51136.87658,0,0,3,0,Basic,Manual,5.0,18.30305425,0.139774151,Neutral,0,2018,4,7,14.0,0.2731784505310091
152,63,Female,North,Retired,High,533,Branch,Web,1,1,57589.28405,3,0,3,0,Platinum,Manual,3.0,30.21963608,0.79413131,Bad,0,2018,9,7,20.0,0.09927320077773749
153,69,Female,West,Retired,High,657,Agent,iOS,1,1,47412.07323,0,0,4,0,Silver,Manual,1.0,30.76989173,0.720518705,Bad,0,2017,1,8,19.0,0.03249930187518407
154,50,Female,South,Salaried,Medium,625,Branch,iOS,2,1,53686.0069,0,1,3,0,Basic,Auto,4.0,55.47707635,0.167220032,Neutral,1,2020,5,5,20.0,0.0721018529304672
